Page_Number,Number_of_Food,English,Kiswahili,Food_Category,A_Small_g,B_Medium_g,C_Large_g
11,1,Maize Ugali,Ugali,Cereals and Cereal Products,190,380,570
11,2,Mixed Flour Ugali/Millet/Sorghum,Mchele,Cereals and Cereal Products,134,240,370
11,3,Maize Porridge,Chapoti,Cereals and Cereal Products,,,347
12,4,Mixed porridge/Millet Porridge/Sorghum Porridge,Uji wa Wimbi/Mtama/Muhogo,Cereals and Cereal Products,330,328,347
12,5,Boiled White Rice,Mchele mweupe wa kuchenshwa,Cereals and Cereal Products,102,204,306
12,6,Spaghetti,Spogeti,Cereals and Cereal Products,104,209,313
13,7,Macaroni,Makoronyo,Cereals and Cereal Products,103,164,232
13,8,Fusilli,Makoronyo,Cereals and Cereal Products,131,232,354
13,9,Noodles,Tambi,Cereals and Cereal Products,,,219
14,10,Sesame Buns,Mkate wa Ufuta,Cereals and Cereal Products,66,,
15,11,Weetabix,Mnafako,Cereals and Cereal Products,20,40,60
15,12,Corn Flakes,Vitafuno vya Mahindi,Cereals and Cereal Products,21,42,63
15,13,Muesli,Vitafuno Nafaka,Cereals and Cereal Products,25,50,75
16,14,Whole Grain Cereal Biscuits,Biskuti Nafako,Cereals and Cereal Products,36,53,71
16,15,Oat Porridge,Uji wa Shayiri,Cereals and Cereal Products,128,270,406
18,16,White Bread/Sweet Yellow Bread - 600g Slice,Boflo Leupe,Cereals and Cereal Products,27,54,81
18,17,White Bread/ Sweet Yellow Bread - 400g Slice,Boflo Leupe,Cereals and Cereal Products,26,52,104
18,18,White Bread/Sweet Yellow Bread - 800g Slice,Boflo Leupe,Cereals and Cereal Products,37,74,111
19,19,Brown Bread - 400g,Boflo Hudhurungi,Cereals and Cereal Products,26,52,104
19,20,Barrel Bread,Boflo Mviringo,Cereals and Cereal Products,50,75,100
19,21,Whole Grain Bread - 600g Slice,Boflo Nafako,Cereals and Cereal Products,33,66,99
20,22,Scones,Skonzi,Cereals and Cereal Products,32,72,103
20,23,Small Bites(1pkt),Moandazi,Cereals and Cereal Products,,,199
21,24,Round Mandazi/Kaimati,Kaimati,Cereals and Cereal Products,60,120,180
21,25,Squared Mandazi - Supermarket,Moandazi,Cereals and Cereal Products,62,124,186
